INFO:root: tact: 1 acc: 0 memory_address: 0 PC: 0 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 2 acc: 10 memory_address: 1000 PC: 1 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 3 acc: 10 memory_address: 1 PC: 1 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 4 acc: 10 memory_address: 999 PC: 2 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 5 acc: 10 memory_address: 2 PC: 2 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 6 acc: 10 memory_address: 2 PC: 4 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 7 acc: 10 memory_address: 4 PC: 4 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 8 acc: 10 memory_address: 1000 PC: 5 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 9 acc: 10 memory_address: 5 PC: 5 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 10 acc: 9 memory_address: 998 PC: 6 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 11 acc: 9 memory_address: 6 PC: 6 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 12 acc: 9 memory_address: 1000 PC: 7 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 13 acc: 9 memory_address: 7 PC: 7 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 14 acc: 9 memory_address: 1000 PC: 8 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 15 acc: 9 memory_address: 8 PC: 8 inst: {'opcode': 'OUTPUT', 'address': 0}
INFO:root: tact: 16 acc: 9 memory_address: 8 PC: 9 inst: {'opcode': 'OUTPUT', 'address': 0}
INFO:root: tact: 17 acc: 9 memory_address: 9 PC: 9 inst: {'opcode': 'JUMP', 'address': -9}
INFO:root: tact: 18 acc: 9 memory_address: 9 PC: 0 inst: {'opcode': 'JUMP', 'address': -9}
INFO:root: tact: 19 acc: 9 memory_address: 0 PC: 0 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 20 acc: 9 memory_address: 1000 PC: 1 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 21 acc: 9 memory_address: 1 PC: 1 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 22 acc: 9 memory_address: 999 PC: 2 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 23 acc: 9 memory_address: 2 PC: 2 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 24 acc: 9 memory_address: 2 PC: 4 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 25 acc: 9 memory_address: 4 PC: 4 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 26 acc: 9 memory_address: 1000 PC: 5 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 27 acc: 9 memory_address: 5 PC: 5 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 28 acc: 8 memory_address: 998 PC: 6 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 29 acc: 8 memory_address: 6 PC: 6 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 30 acc: 8 memory_address: 1000 PC: 7 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 31 acc: 8 memory_address: 7 PC: 7 inst: {'opcode': 'READ', 'address': 1000}
